"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170502T000000Z";"2.0";0;0;"0.88";"1.11";"0.620";"0.77";"0.0364";"0.050";"0.0349";"0.048";"0.07";"0.08";"0.032";"0.04";"0.70";"0.69";"0.0034";"0.007";"0.0031";"0.006";"0.96";"0.96";"0.07";"0.06";"0.12";"0.18"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170502T060200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170516T000000Z";"2.0";0;8;"1.68";"1.67";"1.35";"1.29";"0.084";"0.085";"0.079";"0.082";"0.08";"0.11";"0.04";"0.06";"0.80";"0.77";"0.007";"0.009";"0.006";"0.008";"0.94";"0.97";"0.05";"0.06";"0.11";"0.14"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170516T184300Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170601T000000Z";"2.0";0;0;"5.85";"4.37";"4.64";"3.48";"1.28";"0.95";"1.209";"0.90";"0.16";"0.18";"0.13";"0.15";"0.794";"0.79";"0.04";"0.05";"0.032";"0.04";"0.94";"0.95";"0.031";"0.05";"0.04";"0.07"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170601T202700Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170614T000000Z";"2.0";0;8;"5.83";"4.49";"4.54";"3.44";"0.912";"0.70";"0.868";"0.666";"0.16";"0.17";"0.13";"0.15";"0.778";"0.77";"0.028";"0.04";"0.025";"0.029";"0.95";"0.95";"0.031";"0.04";"0.04";"0.06"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170614T081900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170627T000000Z";"2.0";0;0;"5.81";"4.50";"4.66";"3.60";"1.16";"0.87";"1.106";"0.83";"0.16";"0.18";"0.14";"0.17";"0.802";"0.80";"0.04";"0.05";"0.033";"0.04";"0.95";"0.95";"0.032";"0.05";"0.04";"0.07"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170627T052200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170711T000000Z";"2.0";0;0;"5.54";"4.66";"4.05";"3.34";"0.87";"0.73";"0.799";"0.67";"0.18";"0.22";"0.14";"0.17";"0.732";"0.72";"0.04";"0.05";"0.029";"0.04";"0.92";"0.92";"0.035";"0.05";"0.05";"0.09"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170711T053200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170725T000000Z";"2.0";8;0;"6.22";"4.62";"4.91";"3.68";"1.25";"0.95";"1.159";"0.88";"0.16";"0.19";"0.13";"0.18";"0.789";"0.80";"0.04";"0.06";"0.033";"0.04";"0.93";"0.93";"0.029";"0.05";"0.04";"0.07"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170725T201100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170809T000000Z";"2.0";0;0;"5.50";"4.05";"4.19";"2.95";"0.919";"0.75";"0.874";"0.706";"0.16";"0.24";"0.13";"0.20";"0.761";"0.73";"0.030";"0.04";"0.026";"0.032";"0.95";"0.95";"0.032";"0.06";"0.04";"0.06"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170809T055700Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170822T000000Z";"2.0";0;0;"5.98";"4.65";"4.69";"3.61";"0.71";"0.64";"0.631";"0.54";"0.16";"0.23";"0.14";"0.18";"0.783";"0.78";"0.04";"0.07";"0.030";"0.04";"0.89";"0.85";"0.032";"0.05";"0.06";"0.12"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170822T061600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170906T000000Z";"2.0";0;0;"5.82";"4.53";"4.63";"3.54";"0.387";"0.43";"0.318";"0.34";"0.16";"0.17";"0.13";"0.14";"0.796";"0.78";"0.031";"0.08";"0.022";"0.04";"0.82";"0.78";"0.031";"0.04";"0.09";"0.18"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170906T151700Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170919T000000Z";"2.0";0;0;"5.78";"4.86";"4.62";"3.81";"0.536";"0.44";"0.478";"0.385";"0.15";"0.22";"0.13";"0.21";"0.799";"0.78";"0.026";"0.05";"0.020";"0.026";"0.89";"0.87";"0.031";"0.06";"0.06";"0.11"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20170919T070300Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20171002T000000Z";"2.0";0;16;"5.31";"4.12";"4.19";"3.18";"0.357";"0.34";"0.315";"0.287";"0.14";"0.16";"0.12";"0.16";"0.790";"0.77";"0.025";"0.05";"0.019";"0.028";"0.88";"0.85";"0.031";"0.05";"0.08";"0.15"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20171002T170700Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20171017T000000Z";"2.0";0;0;"3.73";"3.12";"2.87";"2.37";"0.174";"0.158";"0.152";"0.141";"0.12";"0.18";"0.09";"0.13";"0.769";"0.76";"0.019";"0.029";"0.015";"0.023";"0.87";"0.89";"0.034";"0.06";"0.13";"0.22"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20171017T071600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20180501T000000Z";"2.0";0;0;"0.95";"1.15";"0.627";"0.73";"0.068";"0.074";"0.065";"0.072";"0.09";"0.10";"0.035";"0.04";"0.66";"0.63";"0.006";"0.008";"0.005";"0.007";"0.96";"0.98";"0.07";"0.06";"0.11";"0.14"
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20180501T055100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_793";"Bartlett Experimental Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"232";"Mixed Forest";44.063901;-71.287308;"20180515T013800Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
