"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170412T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0289";"0.0344";"0.0288";"0.0343";-999;-999;-999;-999;-999;-999;"0.0011";"0.0016";"0.0010";"0.0016";"1.00";"1.00";-999;-999;"0.05";"0.07"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170412T100800Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170426T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0154";"0.0160";"0.0153";"0.0160";-999;-999;-999;-999;-999;-999;"0.0008";"0.0011";"0.0007";"0.0011";"1.00";"1.00";-999;-999;"0.07";"0.10"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170426T142000Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170510T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0416";"0.0361";"0.0411";"0.0358";-999;-999;-999;-999;-999;-999;"0.0018";"0.0029";"0.0018";"0.0028";"0.99";"0.99";-999;-999;"0.06";"0.11"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170510T095600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170525T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.130";"0.127";"0.127";"0.126";-999;-999;-999;-999;-999;-999;"0.005";"0.007";"0.004";"0.006";"0.98";"0.99";-999;-999;"0.05";"0.07"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170525T075600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170607T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.076";"0.083";"0.073";"0.081";-999;-999;-999;-999;-999;-999;"0.005";"0.007";"0.004";"0.007";"0.96";"0.98";-999;-999;"0.09";"0.12"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170607T104600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170621T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.282";"0.301";"0.271";"0.286";-999;-999;-999;-999;-999;-999;"0.012";"0.022";"0.011";"0.020";"0.96";"0.95";-999;-999;"0.06";"0.10"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170621T081800Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170705T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.152";"0.153";"0.143";"0.149";-999;-999;-999;-999;-999;-999;"0.011";"0.009";"0.007";"0.008";"0.94";"0.97";-999;-999;"0.08";"0.08"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170705T091600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170719T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.130";"0.130";"0.124";"0.128";-999;-999;-999;-999;-999;-999;"0.009";"0.006";"0.006";"0.006";"0.96";"0.98";-999;-999;"0.08";"0.07"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170719T085800Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170802T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.104";"0.100";"0.099";"0.099";-999;-999;-999;-999;-999;-999;"0.008";"0.006";"0.005";"0.005";"0.96";"0.99";-999;-999;"0.09";"0.08"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170802T090800Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170816T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.240";"0.249";"0.236";"0.245";-999;-999;-999;-999;-999;-999;"0.007";"0.010";"0.007";"0.010";"0.99";"0.98";-999;-999;"0.04";"0.06"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170816T094600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170830T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0435";"0.0385";"0.0431";"0.0381";-999;-999;-999;-999;-999;-999;"0.0020";"0.0029";"0.0019";"0.0028";"0.99";"0.99";-999;-999;"0.06";"0.10"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170830T094100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170913T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0371";"0.0344";"0.0370";"0.0343";-999;-999;-999;-999;-999;-999;"0.0015";"0.0030";"0.0015";"0.0029";"1.00";"1.00";-999;-999;"0.06";"0.12"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170913T091100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170927T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0288";"0.0209";"0.0288";"0.0209";-999;-999;-999;-999;-999;-999;"0.0009";"0.0014";"0.0009";"0.0013";"1.00";"1.00";-999;-999;"0.04";"0.09"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20170927T093200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20171011T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0797";"0.085";"0.0794";"0.084";-999;-999;-999;-999;-999;-999;"0.0028";"0.004";"0.0028";"0.004";"1.00";"1.00";-999;-999;"0.05";"0.07"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20171011T091800Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20171025T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0426";"0.0526";"0.0425";"0.0525";-999;-999;-999;-999;-999;-999;"0.0012";"0.0024";"0.0012";"0.0024";"1.00";"1.00";-999;-999;"0.04";"0.06"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20171025T093900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180328T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0224";"0.0275";"0.0224";"0.0274";-999;-999;-999;-999;-999;-999;"0.0008";"0.0017";"0.0007";"0.0016";"1.00";"1.00";-999;-999;"0.05";"0.08"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180328T091100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180411T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0311";"0.0391";"0.0311";"0.0390";-999;-999;-999;-999;-999;-999;"0.0008";"0.0017";"0.0008";"0.0016";"1.00";"1.00";-999;-999;"0.04";"0.06"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180411T143100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180425T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0532";"0.0634";"0.0530";"0.0633";-999;-999;-999;-999;-999;-999;"0.0014";"0.0024";"0.0014";"0.0024";"1.00";"1.00";-999;-999;"0.04";"0.05"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180425T143100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180508T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0459";"0.0385";"0.0455";"0.0382";-999;-999;-999;-999;-999;-999;"0.0016";"0.0030";"0.0016";"0.0029";"0.99";"0.99";-999;-999;"0.05";"0.11"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180508T150200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180523T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.569";"0.597";"0.553";"0.576";-999;-999;-999;-999;-999;-999;"0.016";"0.024";"0.015";"0.023";"0.97";"0.96";-999;-999;"0.04";"0.05"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180523T090900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180606T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.372";"0.389";"0.359";"0.374";-999;-999;-999;-999;-999;-999;"0.014";"0.022";"0.014";"0.021";"0.97";"0.96";-999;-999;"0.05";"0.08"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180606T092600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180621T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.123";"0.115";"0.122";"0.113";-999;-999;-999;-999;-999;-999;"0.005";"0.008";"0.005";"0.008";"0.99";"0.98";-999;-999;"0.06";"0.10"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180621T090800Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180703T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0284";"0.0208";"0.0283";"0.0205";-999;-999;-999;-999;-999;-999;"0.0011";"0.0020";"0.0011";"0.0020";"0.99";"0.99";-999;-999;"0.05";"0.14"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180703T084800Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180718T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0221";"0.0255";"0.0220";"0.0253";-999;-999;-999;-999;-999;-999;"0.0009";"0.0022";"0.0009";"0.0022";"1.00";"0.99";-999;-999;"0.05";"0.12"
"GBOV_RM7_550";"Central Plains Experimental Range";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1648";"Grasslands";40.81555;-104.74566;"20180718T090300Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
