"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_1455";"Dead Lake";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"22";"Deciduous Broadleaf";32.54172;-87.80389;"20170512T051800Z";"2.0";1;1;"4.85";"4.13";"3.52";"3.04";"0.126";"0.15";"0.102";"0.080";"0.13";"0.17";"0.10";"0.13";"0.726";"0.74";"0.020";"0.08";"0.014";"0.027";"0.82";"0.54";"0.028";"0.04";"0.17";"0.34"
"GBOV_RM7_1455";"Dead Lake";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"22";"Deciduous Broadleaf";32.54172;-87.80389;"20170523T051900Z";"2.0";1;1;"5.60";"5.38";"4.09";"3.90";"0.160";"0.12";"0.130";"0.095";"0.15";"0.20";"0.11";"0.21";"0.730";"0.72";"0.022";"0.05";"0.017";"0.030";"0.81";"0.8";"0.027";"0.05";"0.15";"0.4"
"GBOV_RM7_1455";"Dead Lake";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"22";"Deciduous Broadleaf";32.54172;-87.80389;"20170606T054300Z";"2.0";1;1;"3.59";"3.15";"2.71";"2.24";"0.190";"0.22";"0.147";"0.132";"0.11";"0.15";"0.08";"0.11";"0.756";"0.71";"0.028";"0.08";"0.019";"0.033";"0.78";"0.60";"0.032";"0.05";"0.15";"0.27"
"GBOV_RM7_1455";"Dead Lake";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"22";"Deciduous Broadleaf";32.54172;-87.80389;"20170706T060900Z";"2.0";0;0;"4.87";"4.01";"3.65";"3.05";"0.815";"0.585";"0.802";"0.574";"0.13";"0.21";"0.10";"0.16";"0.748";"0.76";"0.022";"0.032";"0.021";"0.029";"0.98";"0.98";"0.029";"0.05";"0.04";"0.07"
"GBOV_RM7_1455";"Dead Lake";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"22";"Deciduous Broadleaf";32.54172;-87.80389;"20170719T062100Z";"2.0";0;0;"4.81";"3.94";"3.68";"2.96";"0.241";"0.223";"0.227";"0.211";"0.13";"0.15";"0.10";"0.13";"0.766";"0.75";"0.017";"0.027";"0.015";"0.023";"0.94";"0.94";"0.029";"0.04";"0.09";"0.15"
"GBOV_RM7_1455";"Dead Lake";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"22";"Deciduous Broadleaf";32.54172;-87.80389;"20170801T062400Z";"2.0";0;0;"4.75";"3.85";"3.64";"2.93";"0.532";"0.397";"0.507";"0.385";"0.13";"0.16";"0.10";"0.11";"0.766";"0.76";"0.023";"0.023";"0.019";"0.022";"0.95";"0.97";"0.030";"0.04";"0.05";"0.08"
"GBOV_RM7_1455";"Dead Lake";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"22";"Deciduous Broadleaf";32.54172;-87.80389;"20170816T062600Z";"2.0";0;0;"4.57";"3.94";"3.47";"2.96";"0.213";"0.22";"0.192";"0.194";"0.13";"0.20";"0.10";"0.16";"0.761";"0.75";"0.018";"0.04";"0.014";"0.027";"0.90";"0.88";"0.030";"0.06";"0.10";"0.20"
"GBOV_RM7_1455";"Dead Lake";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"22";"Deciduous Broadleaf";32.54172;-87.80389;"20170831T053800Z";"2.0";0;0;"4.53";"3.88";"3.43";"2.86";"0.574";"0.434";"0.555";"0.421";"0.12";"0.15";"0.09";"0.12";"0.758";"0.74";"0.021";"0.027";"0.020";"0.025";"0.97";"0.97";"0.029";"0.04";"0.05";"0.08"
"GBOV_RM7_1455";"Dead Lake";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"22";"Deciduous Broadleaf";32.54172;-87.80389;"20170913T065900Z";"2.0";0;0;"4.22";"3.80";"3.22";"2.82";"0.174";"0.165";"0.162";"0.159";"0.12";"0.16";"0.09";"0.13";"0.763";"0.74";"0.012";"0.016";"0.011";"0.015";"0.93";"0.96";"0.030";"0.05";"0.09";"0.13"
"GBOV_RM7_1455";"Dead Lake";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"22";"Deciduous Broadleaf";32.54172;-87.80389;"20170925T070900Z";"2.0";0;0;"3.87";"3.31";"2.89";"2.48";"0.070";"0.059";"0.066";"0.058";"0.11";"0.14";"0.08";"0.11";"0.747";"0.75";"0.006";"0.005";"0.005";"0.005";"0.94";"0.98";"0.030";"0.04";"0.11";"0.11"
"GBOV_RM7_1455";"Dead Lake";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"22";"Deciduous Broadleaf";32.54172;-87.80389;"20171010T070200Z";"2.0";0;0;"3.22";"3.06";"2.41";"2.16";"0.052";"0.043";"0.0496";"0.042";"0.09";"0.15";"0.07";"0.10";"0.750";"0.71";"0.004";"0.007";"0.0035";"0.006";"0.96";"0.97";"0.031";"0.05";"0.10";"0.20"
