"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170328T000000Z";"2.0";128;-999;"1.15";"1.98";"0.68";"0.97";"0.301";"0.45";"0.270";"0.39";"0.10";"0.28";"0.05";"0.12";"0.59";"0.49";"0.024";"0.05";"0.020";"0.05";"0.90";"0.88";"0.07";"0.09";"0.10";"0.15"
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170328T191600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170411T000000Z";"2.0";128;-999;"0.99";"1.66";"0.65";"0.96";"0.171";"0.251";"0.159";"0.235";"0.07";"0.18";"0.04";"0.10";"0.66";"0.58";"0.014";"0.029";"0.012";"0.027";"0.93";"0.94";"0.06";"0.08";"0.10";"0.15"
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170411T071000Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170510T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.053";"0.029";"0.052";"0.029";-999;-999;-999;-999;"-999";"-999";"0.005";"0.004";"0.005";"0.004";"0.98";"0.99";-999;-999;"0.13";"0.18"
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170510T192300Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170523T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.0187";"0.0120";"0.0185";"0.0119";-999;-999;-999;-999;"-999";"-999";"0.0018";"0.0030";"0.0018";"0.0030";"0.99";"0.99";-999;-999;"0.14";"0.35"
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170523T120100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170620T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.294";"0.200";"0.282";"0.193";-999;-999;-999;-999;"-999";"-999";"0.017";"0.020";"0.016";"0.019";"0.96";"0.96";-999;-999;"0.08";"0.14"
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170620T131600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170706T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.68";"0.50";"0.57";"0.42";-999;-999;-999;-999;"-999";"-999";"0.06";"0.07";"0.04";"0.04";"0.84";"0.84";-999;-999;"0.09";"0.14"
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170706T111400Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170718T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.816";"0.60";"0.769";"0.56";-999;-999;-999;-999;"-999";"-999";"0.033";"0.04";"0.032";"0.04";"0.94";"0.94";-999;-999;"0.05";"0.09"
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170718T130900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170801T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"1.05";"0.74";"0.96";"0.68";-999;-999;-999;-999;"-999";"-999";"0.05";"0.07";"0.05";"0.06";"0.92";"0.92";-999;-999;"0.07";"0.11"
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170801T165700Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170816T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.921";"0.703";"0.861";"0.662";-999;-999;-999;-999;"-999";"-999";"0.035";"0.035";"0.032";"0.033";"0.94";"0.94";-999;-999;"0.05";"0.07"
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170816T094300Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170828T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.876";"0.67";"0.825";"0.63";-999;-999;-999;-999;"-999";"-999";"0.035";"0.05";"0.033";"0.04";"0.94";"0.93";-999;-999;"0.05";"0.09"
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170828T154900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170919T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.475";"0.381";"0.454";"0.363";-999;-999;-999;-999;"-999";"-999";"0.021";"0.025";"0.020";"0.024";"0.96";"0.95";-999;-999;"0.06";"0.09"
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170919T094600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170925T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.511";"0.440";"0.491";"0.421";-999;-999;-999;-999;"-999";"-999";"0.021";"0.029";"0.019";"0.027";"0.96";"0.96";-999;-999;"0.05";"0.09"
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20170925T163200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20171010T000000Z";"2.0";-999;16;"-999";"-999";"-999";"-999";"0.549";"0.454";"0.529";"0.434";-999;-999;-999;-999;"-999";"-999";"0.021";"0.030";"0.020";"0.027";"0.96";"0.96";-999;-999;"0.05";"0.09"
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20171010T164000Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_616";"Disney Wilderness Preserve";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"15";"Open Shrublands";28.1250400543213;-81.43625;"20171024T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.501";"0.409";"0.479";"0.391";-999;-999;-999;-999;"-999";"-999";"0.021";"0.031";"0.019";"0.026";"0.96";"0.96";-999;-999;"0.06";"0.10"
