"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_187";"Harvard Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"351";"Mixed Forest";42.5377998352051;-72.171501159668;"20170425T000000Z";"2.0";0;0;"3.70";"3.27";"2.33";"2.09";"0.169";"0.134";"0.157";"0.123";"0.12";"0.20";"0.07";"0.12";"0.630";"0.64";"0.020";"0.029";"0.017";"0.019";"0.93";"0.92";"0.029";"0.05";"0.15";"0.24"
"GBOV_RM7_187";"Harvard Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"351";"Mixed Forest";42.5377998352051;-72.171501159668;"20170425T103100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_187";"Harvard Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"351";"Mixed Forest";42.5377998352051;-72.171501159668;"20170508T000000Z";"2.0";0;0;"3.92";"3.49";"2.43";"2.23";"0.067";"0.056";"0.062";"0.054";"0.13";"0.19";"0.08";"0.13";"0.620";"0.64";"0.009";"0.011";"0.008";"0.010";"0.93";"0.96";"0.028";"0.05";"0.17";"0.26"
"GBOV_RM7_187";"Harvard Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"351";"Mixed Forest";42.5377998352051;-72.171501159668;"20170508T132600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_187";"Harvard Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"351";"Mixed Forest";42.5377998352051;-72.171501159668;"20170523T000000Z";"2.0";64;64;"3.81";"3.46";"2.65";"2.41";"0.253";"0.22";"0.227";"0.183";"0.11";"0.17";"0.07";"0.10";"0.697";"0.69";"0.029";"0.06";"0.021";"0.033";"0.90";"0.83";"0.028";"0.04";"0.13";"0.28"
"GBOV_RM7_187";"Harvard Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"351";"Mixed Forest";42.5377998352051;-72.171501159668;"20170523T053500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_187";"Harvard Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"351";"Mixed Forest";42.5377998352051;-72.171501159668;"20170605T000000Z";"2.0";0;0;"4.21";"3.85";"3.28";"2.97";"0.221";"0.14";"0.180";"0.127";"0.12";"0.16";"0.08";"0.11";"0.778";"0.77";"0.032";"0.04";"0.022";"0.028";"0.82";"0.89";"0.029";"0.04";"0.15";"0.30"
"GBOV_RM7_187";"Harvard Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"351";"Mixed Forest";42.5377998352051;-72.171501159668;"20170605T111000Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_187";"Harvard Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"351";"Mixed Forest";42.5377998352051;-72.171501159668;"20170621T000000Z";"2.0";0;0;"4.79";"3.71";"3.62";"2.81";"0.281";"0.208";"0.251";"0.192";"0.13";"0.14";"0.09";"0.11";"0.757";"0.76";"0.028";"0.035";"0.021";"0.026";"0.89";"0.92";"0.028";"0.04";"0.12";"0.20"
"GBOV_RM7_187";"Harvard Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"351";"Mixed Forest";42.5377998352051;-72.171501159668;"20170621T052500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_187";"Harvard Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"351";"Mixed Forest";42.5377998352051;-72.171501159668;"20170705T000000Z";"2.0";0;0;"4.94";"3.83";"3.74";"2.92";"0.48";"0.338";"0.434";"0.323";"0.13";"0.16";"0.10";"0.11";"0.757";"0.76";"0.04";"0.033";"0.026";"0.028";"0.91";"0.96";"0.028";"0.04";"0.09";"0.13"
"GBOV_RM7_187";"Harvard Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"351";"Mixed Forest";42.5377998352051;-72.171501159668;"20170705T053600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
