"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170406T000000Z";"2.0";0;8;"1.34";"1.08";"0.87";"0.73";"0.744";"0.60";"0.686";"0.56";"0.06";"0.11";"0.04";"0.05";"0.65";"0.67";"0.034";"0.05";"0.028";"0.04";"0.92";"0.93";"0.04";"0.08";"0.06";"0.10"
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170406T195100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170417T000000Z";"2.0";0;0;"1.68";"2.01";"0.99";"1.08";"0.70";"0.67";"0.60";"0.55";"0.10";"0.23";"0.05";"0.10";"0.59";"0.54";"0.05";"0.10";"0.04";"0.07";"0.84";"0.82";"0.05";"0.08";"0.09";"0.16"
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170417T194400Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170502T000000Z";"2.0";0;0;"1.43";"1.15";"0.91";"0.76";"1.49";"1.19";"1.27";"1.03";"0.07";"0.10";"0.04";"0.05";"0.64";"0.65";"0.08";"0.11";"0.06";"0.09";"0.85";"0.87";"0.04";"0.07";"0.06";"0.11"
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170502T200300Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170516T000000Z";"2.0";0;0;"1.43";"1.12";"0.92";"0.77";"1.87";"1.54";"1.50";"1.24";"0.07";"0.09";"0.04";"0.05";"0.64";"0.69";"0.11";"0.16";"0.07";"0.11";"0.80";"0.81";"0.04";"0.07";"0.06";"0.11"
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170516T072000Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170530T000000Z";"2.0";0;0;"1.24";"1.14";"0.855";"0.78";"1.42";"1.08";"1.16";"0.90";"0.05";"0.10";"0.034";"0.05";"0.69";"0.68";"0.08";"0.12";"0.06";"0.09";"0.82";"0.84";"0.04";"0.08";"0.06";"0.13"
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170530T193200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170614T000000Z";"2.0";0;0;"1.39";"1.06";"0.91";"0.73";"1.72";"1.21";"1.45";"1.07";"0.06";"0.11";"0.04";"0.05";"0.65";"0.69";"0.08";"0.09";"0.07";"0.08";"0.84";"0.88";"0.04";"0.08";"0.06";"0.09"
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170614T203900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170626T000000Z";"2.0";0;0;"1.41";"1.19";"0.91";"0.76";"1.51";"1.16";"1.23";"0.95";"0.06";"0.11";"0.04";"0.05";"0.65";"0.64";"0.09";"0.12";"0.06";"0.08";"0.82";"0.82";"0.04";"0.07";"0.06";"0.11"
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170626T201200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170713T014900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170726T074100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_898";"Jones Ecological Research Center";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"44";"Evergreen Needleleaf";31.1948394775391;-84.468777;"20170807T000000Z";"2.0";0;0;"1.54";"1.34";"1.00";"0.90";"1.18";"0.97";"1.04";"0.84";"0.07";"0.12";"0.04";"0.06";"0.65";"0.67";"0.05";"0.08";"0.04";"0.05";"0.88";"0.86";"0.04";"0.07";"0.05";"0.09"
