"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_354";"Jornada";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1329";"Open Shrublands";32.5907;-106.84261;"20170405T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0065";"0.0074";"0.0064";"0.0073";-999;-999;-999;-999;-999;-999;"0.0010";"0.0019";"0.0009";"0.0019";"0.99";"1.0";-999;-999;"0.21";"0.4"
"GBOV_RM7_354";"Jornada";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1329";"Open Shrublands";32.5907;-106.84261;"20170405T112700Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_354";"Jornada";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1329";"Open Shrublands";32.5907;-106.84261;"20170419T000000Z";"2.0";-999;32;-999;-999;-999;-999;"0.0152";"0.020";"0.0146";"0.019";-999;-999;-999;-999;-999;-999;"0.0026";"0.008";"0.0023";"0.006";"0.96";"0.9";-999;-999;"0.22";"0.5"
"GBOV_RM7_354";"Jornada";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1329";"Open Shrublands";32.5907;-106.84261;"20170419T101800Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_354";"Jornada";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1329";"Open Shrublands";32.5907;-106.84261;"20170503T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0070";"0.0087";"0.0070";"0.0086";-999;-999;-999;-999;-999;-999;"0.0006";"0.0013";"0.0006";"0.0013";"0.99";"0.99";-999;-999;"0.12";"0.21"
"GBOV_RM7_354";"Jornada";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1329";"Open Shrublands";32.5907;-106.84261;"20170503T101500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_354";"Jornada";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1329";"Open Shrublands";32.5907;-106.84261;"20170517T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0096";"0.0142";"0.0095";"0.0139";-999;-999;-999;-999;-999;-999;"0.0011";"0.0030";"0.0010";"0.0029";"0.99";"0.98";-999;-999;"0.15";"0.29"
"GBOV_RM7_354";"Jornada";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1329";"Open Shrublands";32.5907;-106.84261;"20170517T145000Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_354";"Jornada";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1329";"Open Shrublands";32.5907;-106.84261;"20170531T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0082";"0.0062";"0.0079";"0.0061";-999;-999;-999;-999;-999;-999;"0.0019";"0.0021";"0.0018";"0.0020";"0.98";"1.0";-999;-999;"0.31";"0.5"
"GBOV_RM7_354";"Jornada";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1329";"Open Shrublands";32.5907;-106.84261;"20170531T102700Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
