"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_1578";"Lajas Experimental Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"24";"Grasslands";18.02125;-67.0769;"20170407T082000Z";"2.0";-999;0;-999;-999;-999;-999;"0.761";"0.62";"0.716";"0.591";-999;-999;-999;-999;-999;-999;"0.032";"0.04";"0.029";"0.035";"0.94";"0.96";-999;-999;"0.05";"0.08"
"GBOV_RM7_1578";"Lajas Experimental Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"24";"Grasslands";18.02125;-67.0769;"20170419T084400Z";"2.0";-999;0;-999;-999;-999;-999;"2.87";"1.83";"2.74";"1.79";-999;-999;-999;-999;-999;-999;"0.07";"0.05";"0.07";"0.05";"0.954";"0.98";-999;-999;"0.034";"0.04"
"GBOV_RM7_1578";"Lajas Experimental Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"24";"Grasslands";18.02125;-67.0769;"20170503T164500Z";"2.0";-999;0;-999;-999;-999;-999;"3.02";"1.85";"2.86";"1.78";-999;-999;-999;-999;-999;-999;"0.08";"0.08";"0.08";"0.08";"0.946";"0.97";-999;-999;"0.035";"0.06"
"GBOV_RM7_1578";"Lajas Experimental Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"24";"Grasslands";18.02125;-67.0769;"20170518T161500Z";"2.0";-999;0;-999;-999;-999;-999;"3.71";"2.28";"3.57";"2.22";-999;-999;-999;-999;-999;-999;"0.09";"0.07";"0.08";"0.06";"0.962";"0.97";-999;-999;"0.032";"0.04"
"GBOV_RM7_1578";"Lajas Experimental Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"24";"Grasslands";18.02125;-67.0769;"20170601T162500Z";"2.0";-999;0;-999;-999;-999;-999;"1.91";"1.28";"1.79";"1.23";-999;-999;-999;-999;-999;-999;"0.06";"0.05";"0.06";"0.05";"0.94";"0.96";-999;-999;"0.04";"0.06"
"GBOV_RM7_1578";"Lajas Experimental Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"24";"Grasslands";18.02125;-67.0769;"20170615T162500Z";"2.0";-999;0;-999;-999;-999;-999;"1.08";"0.86";"1.008";"0.82";-999;-999;-999;-999;-999;-999;"0.04";"0.05";"0.032";"0.05";"0.93";"0.95";-999;-999;"0.04";"0.07"
"GBOV_RM7_1578";"Lajas Experimental Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"24";"Grasslands";18.02125;-67.0769;"20170629T171400Z";"2.0";-999;0;-999;-999;-999;-999;"0.84";"0.61";"0.790";"0.58";-999;-999;-999;-999;-999;-999;"0.04";"0.04";"0.035";"0.04";"0.94";"0.95";-999;-999;"0.06";"0.10"
"GBOV_RM7_1578";"Lajas Experimental Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"24";"Grasslands";18.02125;-67.0769;"20170713T155900Z";"2.0";-999;0;-999;-999;-999;-999;"0.365";"0.333";"0.352";"0.320";-999;-999;-999;-999;-999;-999;"0.017";"0.025";"0.016";"0.024";"0.97";"0.96";-999;-999;"0.06";"0.10"
"GBOV_RM7_1578";"Lajas Experimental Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"24";"Grasslands";18.02125;-67.0769;"20170727T161100Z";"2.0";-999;0;-999;-999;-999;-999;"0.55";"0.44";"0.509";"0.42";-999;-999;-999;-999;-999;-999;"0.04";"0.05";"0.034";"0.05";"0.92";"0.94";-999;-999;"0.09";"0.15"
"GBOV_RM7_1578";"Lajas Experimental Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"24";"Grasslands";18.02125;-67.0769;"20170810T171100Z";"2.0";-999;0;-999;-999;-999;-999;"0.306";"0.282";"0.295";"0.271";-999;-999;-999;-999;-999;-999;"0.018";"0.026";"0.017";"0.025";"0.96";"0.96";-999;-999;"0.08";"0.13"
