"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170329T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0101";"0.0155";"0.0101";"0.0154";-999;-999;-999;-999;-999;-999;"0.0007";"0.0016";"0.0007";"0.0016";"1.00";"0.99";-999;-999;"0.10";"0.14"
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170329T164500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170412T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0183";"0.0228";"0.0183";"0.0227";-999;-999;-999;-999;-999;-999;"0.0009";"0.0021";"0.0009";"0.0021";"1.00";"0.99";-999;-999;"0.07";"0.13"
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170412T102200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170426T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0071";"0.0091";"0.0071";"0.0091";-999;-999;-999;-999;-999;-999;"0.0004";"0.0009";"0.0004";"0.0009";"1.00";"1.00";-999;-999;"0.08";"0.14"
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170426T124400Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170511T000000Z";"2.0";-999;1;-999;-999;-999;-999;"0.00189";"0.0017";"0.00188";"0.0017";-999;-999;-999;-999;-999;-999;"0.00023";"0.0005";"0.00023";"0.0005";"1.00";"1.0";-999;-999;"0.17";"0.4"
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170511T113500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170524T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0103";"0.0141";"0.0102";"0.0140";-999;-999;-999;-999;-999;-999;"0.0007";"0.0013";"0.0007";"0.0013";"0.99";"1.00";-999;-999;"0.10";"0.13"
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170524T151500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170608T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0094";"0.0119";"0.0094";"0.0119";-999;-999;-999;-999;-999;-999;"0.0008";"0.0012";"0.0008";"0.0011";"0.99";"0.99";-999;-999;"0.11";"0.13"
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170608T095600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170622T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.00154";"0.0024";"0.00154";"0.0024";-999;-999;-999;-999;-999;-999;"0.00014";"0.0004";"0.00014";"0.0004";"1.00";"1.00";-999;-999;"0.13";"0.24"
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170622T080300Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170706T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0102";"0.0136";"0.0102";"0.0135";-999;-999;-999;-999;-999;-999;"0.0007";"0.0016";"0.0007";"0.0016";"1.00";"1.00";-999;-999;"0.09";"0.17"
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170706T082400Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170720T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0083";"0.0126";"0.0083";"0.0126";-999;-999;-999;-999;-999;-999;"0.0006";"0.0014";"0.0006";"0.0014";"1.00";"1.00";-999;-999;"0.09";"0.16"
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170720T090400Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170802T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0431";"0.049";"0.0422";"0.048";-999;-999;-999;-999;-999;-999;"0.0032";"0.006";"0.0031";"0.006";"0.98";"0.97";-999;-999;"0.10";"0.18"
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170802T095100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170817T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.030";"0.033";"0.028";"0.031";-999;-999;-999;-999;-999;-999;"0.006";"0.010";"0.005";"0.009";"0.94";"0.9";-999;-999;"0.24";"0.4"
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170817T103600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170831T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.00273";"0.0038";"0.00272";"0.0037";-999;-999;-999;-999;-999;-999;"0.00032";"0.0011";"0.00031";"0.0010";"1.00";"1.0";-999;-999;"0.16";"0.4"
"GBOV_RM7_357";"Moab";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1767";"Open Shrublands";38.24836;-109.38831;"20170831T100600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
