"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_738";"Onaqui Ault";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1685";"Open Shrublands";40.1775894165039;-112.452438354492;"20170405T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.0376";"0.052";"0.0373";"0.052";-999;-999;-999;-999;"-999";"-999";"0.0026";"0.005";"0.0026";"0.005";"0.99";"0.99";-999;-999;"0.10";"0.14"
"GBOV_RM7_738";"Onaqui Ault";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1685";"Open Shrublands";40.1775894165039;-112.452438354492;"20170417T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.0245";"0.031";"0.0241";"0.031";-999;-999;-999;-999;"-999";"-999";"0.0025";"0.005";"0.0024";"0.005";"0.99";"0.99";-999;-999;"0.14";"0.24"
"GBOV_RM7_738";"Onaqui Ault";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1685";"Open Shrublands";40.1775894165039;-112.452438354492;"20170417T135400Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_738";"Onaqui Ault";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1685";"Open Shrublands";40.1775894165039;-112.452438354492;"20170503T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.073";"0.087";"0.070";"0.084";-999;-999;-999;-999;"-999";"-999";"0.006";"0.009";"0.005";"0.009";"0.97";"0.98";-999;-999;"0.10";"0.15"
"GBOV_RM7_738";"Onaqui Ault";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1685";"Open Shrublands";40.1775894165039;-112.452438354492;"20170503T123400Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_738";"Onaqui Ault";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1685";"Open Shrublands";40.1775894165039;-112.452438354492;"20170516T000000Z";"2.0";-999;2;"-999";"-999";"-999";"-999";"0.039";"0.052";"0.038";"0.050";-999;-999;-999;-999;"-999";"-999";"0.004";"0.010";"0.004";"0.009";"0.97";"0.96";-999;-999;"0.15";"0.26"
"GBOV_RM7_738";"Onaqui Ault";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1685";"Open Shrublands";40.1775894165039;-112.452438354492;"20170531T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.077";"0.13";"0.071";"0.11";-999;-999;-999;-999;"-999";"-999";"0.017";"0.05";"0.015";"0.04";"0.92";"0.8";-999;-999;"0.28";"0.5"
"GBOV_RM7_738";"Onaqui Ault";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1685";"Open Shrublands";40.1775894165039;-112.452438354492;"20170615T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.054";"0.072";"0.052";"0.069";-999;-999;-999;-999;"-999";"-999";"0.005";"0.012";"0.005";"0.011";"0.97";"0.96";-999;-999;"0.13";"0.22"
"GBOV_RM7_738";"Onaqui Ault";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1685";"Open Shrublands";40.1775894165039;-112.452438354492;"20170615T105500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_738";"Onaqui Ault";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1685";"Open Shrublands";40.1775894165039;-112.452438354492;"20170628T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.0332";"0.048";"0.0326";"0.047";-999;-999;-999;-999;"-999";"-999";"0.0031";"0.007";"0.0031";"0.007";"0.98";"0.97";-999;-999;"0.13";"0.20"
