"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_366";"Oak Ridge";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"334";"Mixed Forest";35.9641189575195;-84.282600402832;"20170329T000000Z";"2.0";0;0;"0.64";"0.70";"0.490";"0.449";"0.034";"0.034";"0.031";"0.032";"0.04";"0.11";"0.019";"0.031";"0.76";"0.65";"0.006";"0.007";"0.005";"0.006";"0.92";"0.96";"0.06";"0.11";"0.21";"0.28"
"GBOV_RM7_366";"Oak Ridge";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"334";"Mixed Forest";35.9641189575195;-84.282600402832;"20170329T080500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_366";"Oak Ridge";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"334";"Mixed Forest";35.9641189575195;-84.282600402832;"20170411T000000Z";"2.0";0;0;"0.83";"0.86";"0.611";"0.501";"0.074";"0.088";"0.071";"0.086";"0.04";"0.11";"0.019";"0.028";"0.74";"0.58";"0.006";"0.010";"0.005";"0.010";"0.96";"0.98";"0.04";"0.08";"0.10";"0.16"
"GBOV_RM7_366";"Oak Ridge";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"334";"Mixed Forest";35.9641189575195;-84.282600402832;"20170411T073100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_366";"Oak Ridge";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"334";"Mixed Forest";35.9641189575195;-84.282600402832;"20170426T000000Z";"2.0";0;0;"3.60";"2.84";"2.73";"2.08";"0.57";"0.50";"0.47";"0.39";"0.10";"0.17";"0.08";"0.11";"0.759";"0.73";"0.05";"0.09";"0.04";"0.06";"0.82";"0.79";"0.031";"0.06";"0.10";"0.18"
"GBOV_RM7_366";"Oak Ridge";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"334";"Mixed Forest";35.9641189575195;-84.282600402832;"20170426T072700Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_366";"Oak Ridge";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"334";"Mixed Forest";35.9641189575195;-84.282600402832;"20170510T000000Z";"2.0";0;0;"4.73";"3.98";"3.43";"2.79";"0.88";"0.73";"0.70";"0.58";"0.13";"0.19";"0.10";"0.12";"0.726";"0.70";"0.08";"0.13";"0.05";"0.07";"0.79";"0.79";"0.030";"0.04";"0.09";"0.17"
"GBOV_RM7_366";"Oak Ridge";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"334";"Mixed Forest";35.9641189575195;-84.282600402832;"20170510T070000Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_366";"Oak Ridge";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"334";"Mixed Forest";35.9641189575195;-84.282600402832;"20170522T000000Z";"2.0";0;0;"4.92";"4.29";"3.60";"3.07";"0.77";"0.52";"0.59";"0.43";"0.14";"0.20";"0.11";"0.12";"0.731";"0.72";"0.08";"0.09";"0.05";"0.06";"0.77";"0.83";"0.030";"0.04";"0.10";"0.18"
"GBOV_RM7_366";"Oak Ridge";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"334";"Mixed Forest";35.9641189575195;-84.282600402832;"20170522T070500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
