"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_226";"Ordway Swisher Biological Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"45";"Evergreen Needleleaf";29.6839;-81.9934;"20170328T000000Z";"2.0";0;0;"0.85";"0.68";"0.458";"0.38";"0.091";"0.093";"0.088";"0.089";"0.07";"0.10";"0.032";"0.04";"0.54";"0.56";"0.006";"0.012";"0.005";"0.009";"0.97";"0.96";"0.06";"0.10";"0.08";"0.16"
"GBOV_RM7_226";"Ordway Swisher Biological Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"45";"Evergreen Needleleaf";29.6839;-81.9934;"20170328T193500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_226";"Ordway Swisher Biological Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"45";"Evergreen Needleleaf";29.6839;-81.9934;"20170411T000000Z";"2.0";0;8;"0.88";"0.60";"0.439";"0.36";"0.179";"0.146";"0.148";"0.126";"0.07";"0.07";"0.031";"0.05";"0.50";"0.59";"0.022";"0.027";"0.016";"0.020";"0.83";"0.86";"0.05";"0.10";"0.13";"0.21"
"GBOV_RM7_226";"Ordway Swisher Biological Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"45";"Evergreen Needleleaf";29.6839;-81.9934;"20170411T073600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_226";"Ordway Swisher Biological Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"45";"Evergreen Needleleaf";29.6839;-81.9934;"20170424T000000Z";"2.0";0;0;"0.79";"0.61";"0.443";"0.37";"0.194";"0.150";"0.156";"0.119";"0.06";"0.08";"0.029";"0.04";"0.56";"0.61";"0.021";"0.028";"0.016";"0.020";"0.80";"0.79";"0.05";"0.10";"0.12";"0.20"
"GBOV_RM7_226";"Ordway Swisher Biological Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"45";"Evergreen Needleleaf";29.6839;-81.9934;"20170424T191500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_226";"Ordway Swisher Biological Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"45";"Evergreen Needleleaf";29.6839;-81.9934;"20170509T000000Z";"2.0";0;16;"0.82";"0.61";"0.421";"0.37";"0.213";"0.22";"0.173";"0.18";"0.07";"0.08";"0.030";"0.04";"0.51";"0.60";"0.032";"0.06";"0.023";"0.04";"0.81";"0.82";"0.06";"0.10";"0.16";"0.28"
"GBOV_RM7_226";"Ordway Swisher Biological Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"45";"Evergreen Needleleaf";29.6839;-81.9934;"20170509T191600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_226";"Ordway Swisher Biological Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"45";"Evergreen Needleleaf";29.6839;-81.9934;"20170523T000000Z";"2.0";0;0;"0.94";"0.63";"0.410";"0.33";"0.23";"0.19";"0.157";"0.132";"0.08";"0.08";"0.027";"0.04";"0.43";"0.52";"0.04";"0.04";"0.020";"0.027";"0.67";"0.71";"0.05";"0.09";"0.14";"0.21"
"GBOV_RM7_226";"Ordway Swisher Biological Station";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"45";"Evergreen Needleleaf";29.6839;-81.9934;"20170523T072100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
