"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170330T000000Z";"2.0";0;0;"0.613";"0.88";"0.519";"0.677";"0.0267";"0.0450";"0.0266";"0.0449";"0.022";"0.07";"0.015";"0.029";"0.85";"0.77";"0.0009";"0.0016";"0.0009";"0.0016";"1.00";"1.00";"0.04";"0.07";"0.05";"0.05"
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170330T140700Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170417T000000Z";"2.0";0;0;"1.39";"1.42";"1.182";"1.11";"0.227";"0.218";"0.219";"0.205";"0.04";"0.08";"0.031";"0.05";"0.848";"0.78";"0.009";"0.020";"0.008";"0.014";"0.96";"0.94";"0.032";"0.06";"0.05";"0.11"
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170417T142600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170426T000000Z";"2.0";0;0;"2.39";"2.01";"1.95";"1.55";"1.30";"0.93";"1.17";"0.86";"0.06";"0.09";"0.05";"0.06";"0.818";"0.77";"0.05";"0.05";"0.05";"0.04";"0.90";"0.92";"0.029";"0.05";"0.05";"0.07"
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170426T205000Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170509T000000Z";"2.0";0;0;"3.58";"3.20";"2.77";"2.32";"2.57";"1.95";"2.03";"1.54";"0.10";"0.13";"0.07";"0.10";"0.774";"0.72";"0.11";"0.16";"0.09";"0.10";"0.79";"0.79";"0.030";"0.04";"0.05";"0.09"
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170509T051300Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170608T000000Z";"2.0";0;0;"4.94";"4.35";"3.74";"3.18";"2.39";"1.86";"1.81";"1.39";"0.13";"0.19";"0.09";"0.13";"0.757";"0.73";"0.11";"0.19";"0.10";"0.17";"0.76";"0.75";"0.027";"0.04";"0.06";"0.12"
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170622T000000Z";"2.0";0;-999;"5.16";"4.63";"3.95";"3.48";"-999";"-999";"-999";"-999";"0.14";"0.19";"0.10";"0.14";"0.766";"0.75";-999;-999;-999;-999;"-999";"-999";"0.028";"0.04";-999;-999
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170622T192800Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170706T000000Z";"2.0";0;-999;"4.64";"4.40";"3.54";"3.10";"-999";"-999";"-999";"-999";"0.13";"0.17";"0.10";"0.17";"0.762";"0.71";-999;-999;-999;-999;"-999";"-999";"0.030";"0.05";-999;-999
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170706T112400Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170721T000000Z";"2.0";0;-999;"5.07";"4.25";"3.84";"3.08";"-999";"-999";"-999";"-999";"0.14";"0.15";"0.10";"0.13";"0.757";"0.73";-999;-999;-999;-999;"-999";"-999";"0.029";"0.04";-999;-999
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170810T000000Z";"2.0";0;-999;"4.97";"4.28";"3.73";"3.03";"-999";"-999";"-999";"-999";"0.13";"0.15";"0.10";"0.13";"0.751";"0.71";-999;-999;-999;-999;"-999";"-999";"0.028";"0.04";-999;-999
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170810T050800Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170818T000000Z";"2.0";0;-999;"4.95";"4.33";"3.78";"3.08";"-999";"-999";"-999";"-999";"0.13";"0.16";"0.10";"0.14";"0.764";"0.71";-999;-999;-999;-999;"-999";"-999";"0.028";"0.04";-999;-999
"GBOV_RM7_202";"Smithsonian Conservation Biology Institute";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"361";"Mixed Forest";38.8929214477539;-78.1395034790039;"20170818T071200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
