"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_1647";"Santa Rita";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"983";"Closed Shrublands";31.91068;-110.83549;"20170607T163200Z";"2.0";-999;0;-999;-999;-999;-999;"0.00196";"0.0036";"0.00195";"0.0036";-999;-999;-999;-999;-999;-999;"0.00029";"0.0009";"0.00029";"0.0009";"1.00";"1.0";-999;-999;"0.21";"0.4"
"GBOV_RM7_1647";"Santa Rita";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"983";"Closed Shrublands";31.91068;-110.83549;"20170623T091300Z";"2.0";-999;0;-999;-999;-999;-999;"0.0036";"0.0060";"0.0035";"0.0059";-999;-999;-999;-999;-999;-999;"0.0004";"0.0008";"0.0004";"0.0008";"0.99";"0.99";-999;-999;"0.14";"0.19"
"GBOV_RM7_1647";"Santa Rita";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"983";"Closed Shrublands";31.91068;-110.83549;"20170707T090700Z";"2.0";-999;0;-999;-999;-999;-999;"0.0040";"0.0071";"0.00399";"0.0071";-999;-999;-999;-999;-999;-999;"0.0004";"0.0010";"0.00035";"0.0010";"1.00";"0.99";-999;-999;"0.13";"0.20"
"GBOV_RM7_1647";"Santa Rita";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"983";"Closed Shrublands";31.91068;-110.83549;"20170719T163700Z";"2.0";-999;0;-999;-999;-999;-999;"0.0450";"0.0244";"0.0439";"0.0239";-999;-999;-999;-999;-999;-999;"0.0035";"0.0024";"0.0034";"0.0023";"0.97";"0.98";-999;-999;"0.11";"0.14"
"GBOV_RM7_1647";"Santa Rita";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"983";"Closed Shrublands";31.91068;-110.83549;"20170803T093200Z";"2.0";-999;0;-999;-999;-999;-999;"0.145";"0.137";"0.135";"0.125";-999;-999;-999;-999;-999;-999;"0.012";"0.020";"0.011";"0.016";"0.93";"0.92";-999;-999;"0.11";"0.18"
"GBOV_RM7_1647";"Santa Rita";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"983";"Closed Shrublands";31.91068;-110.83549;"20170816T112900Z";"2.0";-999;0;-999;-999;-999;-999;"0.074";"0.065";"0.072";"0.062";-999;-999;-999;-999;-999;-999;"0.006";"0.010";"0.006";"0.010";"0.96";"0.95";-999;-999;"0.11";"0.21"
"GBOV_RM7_1647";"Santa Rita";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"983";"Closed Shrublands";31.91068;-110.83549;"20170830T150100Z";"2.0";-999;0;-999;-999;-999;-999;"0.0393";"0.049";"0.0385";"0.047";-999;-999;-999;-999;-999;-999;"0.0033";"0.006";"0.0032";"0.006";"0.98";"0.97";-999;-999;"0.12";"0.18"
"GBOV_RM7_1647";"Santa Rita";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"983";"Closed Shrublands";31.91068;-110.83549;"20170913T145000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0174";"0.0209";"0.0172";"0.0206";-999;-999;-999;-999;-999;-999;"0.0014";"0.0031";"0.0014";"0.0030";"0.99";"0.99";-999;-999;"0.12";"0.20"
"GBOV_RM7_1647";"Santa Rita";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"983";"Closed Shrublands";31.91068;-110.83549;"20170927T145300Z";"2.0";-999;0;-999;-999;-999;-999;"0.0145";"0.0177";"0.0143";"0.0175";-999;-999;-999;-999;-999;-999;"0.0015";"0.0026";"0.0014";"0.0026";"0.99";"0.99";-999;-999;"0.14";"0.21"
"GBOV_RM7_1647";"Santa Rita";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"983";"Closed Shrublands";31.91068;-110.83549;"20171011T142700Z";"2.0";-999;0;-999;-999;-999;-999;"0.0030";"0.0054";"0.0030";"0.0054";-999;-999;-999;-999;-999;-999;"0.0004";"0.0012";"0.0004";"0.0012";"0.99";"0.99";-999;-999;"0.17";"0.31"
