"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_460";"Steigerwaldt Land Services";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"481";"Deciduous Broadleaf";45.5089416503906;-89.5863723754883;"20170504T000000Z";"2.0";0;16;"1.09";"0.97";"0.55";"0.52";"0.265";"0.24";"0.206";"0.203";"0.15";"0.14";"0.05";"0.07";"0.50";"0.54";"0.030";"0.05";"0.020";"0.031";"0.78";"0.84";"0.08";"0.10";"0.12";"0.20"
"GBOV_RM7_460";"Steigerwaldt Land Services";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"481";"Deciduous Broadleaf";45.5089416503906;-89.5863723754883;"20170504T171400Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_460";"Steigerwaldt Land Services";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"481";"Deciduous Broadleaf";45.5089416503906;-89.5863723754883;"20170522T000000Z";"2.0";0;0;"1.35";"1.52";"0.83";"0.96";"0.46";"0.41";"0.394";"0.36";"0.12";"0.14";"0.05";"0.06";"0.61";"0.63";"0.04";"0.05";"0.029";"0.04";"0.86";"0.87";"0.07";"0.07";"0.09";"0.14"
"GBOV_RM7_460";"Steigerwaldt Land Services";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"481";"Deciduous Broadleaf";45.5089416503906;-89.5863723754883;"20170522T140900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_460";"Steigerwaldt Land Services";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"481";"Deciduous Broadleaf";45.5089416503906;-89.5863723754883;"20170601T000000Z";"2.0";0;16;"2.94";"2.61";"1.82";"1.70";"1.19";"1.20";"0.96";"0.97";"0.14";"0.19";"0.07";"0.10";"0.62";"0.65";"0.07";"0.12";"0.05";"0.09";"0.81";"0.81";"0.04";"0.06";"0.07";"0.11"
"GBOV_RM7_460";"Steigerwaldt Land Services";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"481";"Deciduous Broadleaf";45.5089416503906;-89.5863723754883;"20170601T191100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_460";"Steigerwaldt Land Services";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"481";"Deciduous Broadleaf";45.5089416503906;-89.5863723754883;"20170615T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"1.87";"1.80";"1.50";"1.43";-999;-999;-999;-999;"-999";"-999";"0.08";"0.12";"0.07";"0.10";"0.80";"0.79";-999;-999;"0.05";"0.08"
"GBOV_RM7_460";"Steigerwaldt Land Services";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"481";"Deciduous Broadleaf";45.5089416503906;-89.5863723754883;"20170615T202500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_460";"Steigerwaldt Land Services";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"481";"Deciduous Broadleaf";45.5089416503906;-89.5863723754883;"20170628T000000Z";"2.0";0;0;"3.87";"3.65";"2.40";"2.26";"1.60";"1.60";"1.28";"1.16";"0.16";"0.19";"0.10";"0.12";"0.62";"0.62";"0.07";"0.13";"0.06";"0.09";"0.80";"0.73";"0.04";"0.05";"0.05";"0.08"
"GBOV_RM7_460";"Steigerwaldt Land Services";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"481";"Deciduous Broadleaf";45.5089416503906;-89.5863723754883;"20170628T103600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_460";"Steigerwaldt Land Services";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"481";"Deciduous Broadleaf";45.5089416503906;-89.5863723754883;"20170713T000000Z";"2.0";0;0;"4.21";"4.09";"2.52";"2.51";"1.87";"1.66";"1.42";"1.23";"0.18";"0.23";"0.10";"0.13";"0.597";"0.61";"0.10";"0.18";"0.08";"0.13";"0.76";"0.74";"0.035";"0.05";"0.06";"0.11"
"GBOV_RM7_460";"Steigerwaldt Land Services";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"481";"Deciduous Broadleaf";45.5089416503906;-89.5863723754883;"20170713T071900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
