"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170405T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.0792";"0.1134";"0.0791";"0.1132";-999;-999;-999;-999;"-999";"-999";"0.0020";"0.0035";"0.0019";"0.0035";"0.998";"1.00";-999;-999;"0.035";"0.04"
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170405T111200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170420T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.139";"0.126";"0.136";"0.124";-999;-999;-999;-999;"-999";"-999";"0.006";"0.008";"0.006";"0.008";"0.98";"0.98";-999;-999;"0.06";"0.09"
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170420T093200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170504T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.265";"0.224";"0.257";"0.217";-999;-999;-999;-999;"-999";"-999";"0.012";"0.018";"0.011";"0.017";"0.97";"0.97";-999;-999;"0.06";"0.11"
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170504T135400Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170517T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.0445";"0.064";"0.0440";"0.063";-999;-999;-999;-999;"-999";"-999";"0.0024";"0.005";"0.0023";"0.004";"0.99";"0.99";-999;-999;"0.07";"0.10"
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170517T141300Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170601T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.0502";"0.065";"0.0493";"0.065";-999;-999;-999;-999;"-999";"-999";"0.0028";"0.004";"0.0027";"0.004";"0.98";"0.99";-999;-999;"0.08";"0.08"
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170601T134600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170614T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.224";"0.189";"0.207";"0.180";-999;-999;-999;-999;"-999";"-999";"0.013";"0.017";"0.011";"0.015";"0.93";"0.95";-999;-999;"0.07";"0.11"
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170614T111300Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170628T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.395";"0.335";"0.358";"0.312";-999;-999;-999;-999;"-999";"-999";"0.016";"0.024";"0.013";"0.019";"0.90";"0.93";-999;-999;"0.05";"0.09"
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170628T105900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170712T000000Z";"2.0";-999;0;"-999";"-999";"-999";"-999";"0.043";"0.057";"0.039";"0.054";-999;-999;-999;-999;"-999";"-999";"0.007";"0.009";"0.005";"0.008";"0.92";"0.96";-999;-999;"0.19";"0.22"
"GBOV_RM7_678";"North Sterling";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"1364";"Grasslands";40.461952;-103.02934;"20170712T134000Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
