"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170406T000000Z";"2.0";0;0;"1.81";"1.87";"1.41";"1.32";"0.276";"0.233";"0.245";"0.214";"0.06";"0.09";"0.05";"0.06";"0.78";"0.70";"0.018";"0.029";"0.014";"0.023";"0.89";"0.92";"0.04";"0.05";"0.08";"0.15"
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170406T063500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170419T000000Z";"2.0";1;1;"3.60";"3.49";"2.51";"2.40";"0.45";"0.49";"0.341";"0.34";"0.12";"0.17";"0.09";"0.11";"0.699";"0.69";"0.05";"0.09";"0.032";"0.05";"0.75";"0.71";"0.034";"0.05";"0.10";"0.16"
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170503T000000Z";"2.0";0;0;"3.62";"3.05";"2.48";"2.20";"1.00";"0.76";"0.70";"0.53";"0.13";"0.14";"0.10";"0.10";"0.68";"0.72";"0.07";"0.10";"0.04";"0.04";"0.70";"0.69";"0.04";"0.05";"0.07";"0.10"
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170503T063800Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170519T000000Z";"2.0";1;1;"3.93";"3.29";"2.54";"2.09";"0.82";"0.77";"0.55";"0.49";"0.15";"0.17";"0.10";"0.11";"0.645";"0.63";"0.07";"0.15";"0.05";"0.07";"0.67";"0.63";"0.035";"0.05";"0.08";"0.15"
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170602T000000Z";"2.0";1;9;"3.82";"3.97";"2.49";"2.64";"0.86";"0.54";"0.63";"0.38";"0.15";"0.18";"0.10";"0.12";"0.65";"0.66";"0.06";"0.08";"0.04";"0.04";"0.74";"0.70";"0.04";"0.04";"0.07";"0.12"
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170602T045500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170613T000000Z";"2.0";1;1;"3.73";"3.37";"2.35";"2.13";"0.84";"0.48";"0.59";"0.37";"0.16";"0.16";"0.11";"0.12";"0.63";"0.63";"0.07";"0.07";"0.04";"0.04";"0.70";"0.76";"0.04";"0.05";"0.07";"0.15"
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170613T050500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170628T000000Z";"2.0";0;0;"3.88";"3.37";"2.41";"2.09";"0.86";"0.68";"0.63";"0.54";"0.15";"0.18";"0.10";"0.12";"0.62";"0.62";"0.07";"0.08";"0.05";"0.06";"0.73";"0.79";"0.04";"0.05";"0.08";"0.12"
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170628T051600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170712T000000Z";"2.0";0;0;"3.81";"3.46";"2.33";"2.10";"0.95";"0.68";"0.68";"0.51";"0.14";"0.17";"0.10";"0.10";"0.611";"0.61";"0.08";"0.08";"0.05";"0.05";"0.71";"0.76";"0.034";"0.04";"0.08";"0.11"
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170712T051900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170726T000000Z";"2.0";0;0;"4.07";"3.75";"2.68";"2.52";"0.58";"0.59";"0.49";"0.51";"0.14";"0.16";"0.11";"0.14";"0.659";"0.67";"0.04";"0.06";"0.04";"0.05";"0.84";"0.86";"0.035";"0.05";"0.09";"0.12"
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170726T060900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170809T000000Z";"2.0";0;0;"3.93";"4.05";"2.51";"2.53";"0.56";"0.54";"0.426";"0.41";"0.14";"0.20";"0.10";"0.12";"0.639";"0.63";"0.05";"0.08";"0.035";"0.05";"0.77";"0.75";"0.034";"0.04";"0.09";"0.15"
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170809T052900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170825T000000Z";"2.0";0;0;"4.17";"3.69";"2.74";"2.41";"0.62";"0.48";"0.49";"0.41";"0.15";"0.17";"0.11";"0.14";"0.66";"0.65";"0.05";"0.07";"0.04";"0.06";"0.79";"0.85";"0.04";"0.05";"0.09";"0.17"
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170825T055900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170906T000000Z";"2.0";0;0;"3.76";"3.85";"2.55";"2.74";"0.50";"0.47";"0.405";"0.38";"0.13";"0.19";"0.10";"0.13";"0.679";"0.71";"0.04";"0.07";"0.031";"0.05";"0.82";"0.79";"0.035";"0.05";"0.09";"0.16"
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170906T062400Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_375";"Talladega National Forest";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"135";"Evergreen Needleleaf";32.9504585266113;-87.3932723999023;"20170919T000000Z";"2.0";0;0;"3.63";"3.47";"2.45";"2.35";"0.45";"0.39";"0.359";"0.32";"0.13";"0.16";"0.09";"0.11";"0.674";"0.68";"0.04";"0.05";"0.029";"0.04";"0.80";"0.82";"0.035";"0.04";"0.10";"0.14"
