"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170510T000000Z";"2.0";0;0;"1.64";"1.70";"1.12";"1.17";"0.249";"0.182";"0.230";"0.169";"0.09";"0.12";"0.05";"0.07";"0.68";"0.69";"0.015";"0.020";"0.014";"0.018";"0.92";"0.93";"0.05";"0.06";"0.08";"0.14"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170510T145500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170523T000000Z";"2.0";0;0;"2.03";"2.11";"1.39";"1.46";"0.349";"0.28";"0.301";"0.241";"0.09";"0.12";"0.06";"0.08";"0.68";"0.69";"0.028";"0.04";"0.022";"0.030";"0.86";"0.86";"0.04";"0.05";"0.09";"0.16"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170523T133200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170606T000000Z";"2.0";0;0;"4.16";"3.23";"3.05";"2.25";"1.70";"1.38";"1.39";"1.08";"0.13";"0.16";"0.10";"0.11";"0.734";"0.70";"0.09";"0.18";"0.07";"0.10";"0.82";"0.78";"0.033";"0.05";"0.06";"0.13"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170606T193000Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170619T000000Z";"2.0";0;0;"4.16";"3.64";"3.13";"2.52";"2.20";"1.50";"1.33";"0.96";"0.12";"0.19";"0.10";"0.11";"0.751";"0.69";"0.19";"0.27";"0.10";"0.13";"0.60";"0.64";"0.033";"0.05";"0.07";"0.14"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170619T085300Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170705T000000Z";"2.0";0;0;"4.49";"4.16";"3.27";"2.74";"2.40";"1.59";"1.48";"1.05";"0.13";"0.20";"0.10";"0.15";"0.728";"0.66";"0.21";"0.25";"0.10";"0.13";"0.62";"0.66";"0.031";"0.05";"0.07";"0.13"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170705T085000Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170718T000000Z";"2.0";0;0;"4.67";"4.31";"3.27";"2.76";"2.06";"1.25";"1.22";"0.81";"0.14";"0.19";"0.11";"0.14";"0.702";"0.64";"0.20";"0.25";"0.10";"0.12";"0.59";"0.64";"0.031";"0.04";"0.08";"0.16"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170718T111600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170801T000000Z";"2.0";0;8;"4.57";"4.46";"3.21";"2.67";"2.36";"1.54";"1.35";"0.91";"0.15";"0.23";"0.10";"0.13";"0.704";"0.60";"0.24";"0.35";"0.11";"0.15";"0.57";"0.59";"0.032";"0.04";"0.07";"0.16"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170801T134700Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170815T000000Z";"2.0";0;0;"4.27";"4.00";"3.16";"2.60";"2.41";"1.42";"1.54";"0.98";"0.13";"0.20";"0.10";"0.13";"0.740";"0.65";"0.17";"0.18";"0.10";"0.11";"0.64";"0.69";"0.032";"0.05";"0.06";"0.12"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170815T100300Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170913T000000Z";"2.0";0;0;"3.65";"3.24";"2.62";"2.09";"1.08";"0.72";"0.84";"0.57";"0.12";"0.14";"0.09";"0.09";"0.718";"0.65";"0.09";"0.10";"0.06";"0.07";"0.78";"0.79";"0.034";"0.04";"0.08";"0.15"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170913T065400Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20170926T090000Z";"2.0";0;0;"2.68";"3.14";"1.70";"1.94";"0.456";"0.299";"0.399";"0.266";"0.12";"0.17";"0.07";"0.10";"0.63";"0.62";"0.033";"0.032";"0.029";"0.027";"0.87";"0.89";"0.04";"0.05";"0.09";"0.13"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20171012T000000Z";"2.0";0;0;"2.28";"2.47";"1.46";"1.60";"0.353";"0.34";"0.317";"0.310";"0.10";"0.14";"0.06";"0.09";"0.64";"0.65";"0.023";"0.04";"0.021";"0.034";"0.90";"0.90";"0.04";"0.05";"0.08";"0.15"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20171012T074200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20180508T000000Z";"2.0";0;0;"1.74";"2.07";"1.12";"1.31";"0.075";"0.086";"0.070";"0.079";"0.09";"0.15";"0.05";"0.08";"0.64";"0.63";"0.008";"0.017";"0.007";"0.016";"0.94";"0.93";"0.05";"0.06";"0.14";"0.26"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20180508T172100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20180524T000000Z";"2.0";0;0;"2.95";"2.82";"2.20";"1.95";"0.315";"0.24";"0.283";"0.205";"0.10";"0.15";"0.07";"0.10";"0.744";"0.69";"0.026";"0.04";"0.022";"0.029";"0.90";"0.84";"0.034";"0.05";"0.10";"0.19"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20180524T053200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20180606T000000Z";"2.0";0;0;"4.23";"3.85";"3.13";"2.64";"1.35";"0.91";"0.99";"0.71";"0.12";"0.17";"0.10";"0.14";"0.739";"0.69";"0.09";"0.13";"0.07";"0.08";"0.74";"0.77";"0.031";"0.05";"0.07";"0.14"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20180606T085900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20180619T000000Z";"2.0";0;0;"4.03";"3.45";"2.93";"2.38";"2.30";"1.77";"1.29";"1.15";"0.13";"0.16";"0.10";"0.11";"0.728";"0.69";"0.26";"0.33";"0.10";"0.14";"0.56";"0.65";"0.034";"0.05";"0.08";"0.14"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20180619T055900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20180703T000000Z";"2.0";0;0;"4.12";"3.74";"3.00";"2.51";"2.39";"1.77";"1.50";"1.21";"0.12";"0.20";"0.10";"0.15";"0.728";"0.67";"0.24";"0.30";"0.11";"0.16";"0.63";"0.69";"0.033";"0.05";"0.08";"0.15"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20180703T053100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20180718T000000Z";"2.0";0;0;"3.99";"3.50";"2.87";"2.33";"2.75";"2.11";"1.69";"1.38";"0.13";"0.17";"0.11";"0.11";"0.72";"0.67";"0.23";"0.33";"0.12";"0.18";"0.61";"0.65";"0.04";"0.05";"0.07";"0.13"
"GBOV_RM7_1058";"Underc";"Courtney Meier";"cmeier@battelleecology.org";"support-copernicus-gbov@acri-st.fr";"NEON";"518";"Mixed Forest";46.233959;-89.53751;"20180718T062600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
